node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
4758,39.4734034,-0.38233,,,,,,,,,,,,
4759,39.4733909,-0.3820836,,,,,,,,,,,,
4760,39.4733943,-0.3821849,,,,,,,,,,,,
4761,39.4736314,-0.3818829,,,,,,,,,,,,
4762,39.4735399,-0.3813875,,,,,,,,,,,,
4763,39.4735705,-0.3815861,,,,,,,,,,,,
4764,39.4796547,-0.3797288,,,,,,,,,,,,
4765,39.4796034,-0.3796416,,,,,,,,,,,,
4766,39.4795188,-0.3795357,,,,,,,,,,,,
4767,39.4794433,-0.3794715,,,,,,,,,,,,
4768,39.4795645,-0.3793737,,,,,,,,,,,,
4769,39.4794689,-0.3792714,,,,,,,,,,,,
